Table 1,,,
Geographic Area,"Population, 2020","Population, 2021","Population, 2022"
"Westmoreland County, Pennsylvania","354,316","353,765","352,057"
"Winnebago County, Illinois","284,928","283,559","282,188"
"Allegany County, New York","47,320","46,921","46,694"
"Ben Hill County, Georgia","17,168","17,152","17,069"
"Knox County, Indiana","36,248","35,964","35,789"
"El Dorado County, California","191,220","193,590","192,646"
"Humphreys County, Tennessee","19,001","19,200","19,106"
"Clay County, Georgia","2,830","2,859","2,845"
"Darlington County, South Carolina","62,843","62,708","62,398"
"Shawnee County, Kansas","178,698","178,367","177,480"
"Suffolk County, New York","1,521,950","1,533,118","1,525,465"
"Tazewell County, Illinois","131,073","130,563","129,911"
"Rio Arriba County, New Mexico","40,269","40,249","40,048"
"Barnes County, North Dakota","10,847","10,812","10,758"
"Ketchikan Gateway Borough, Alaska","13,918","13,810","13,741"
"Randolph County, Illinois","30,086","30,219","30,068"
"Massac County, Illinois","14,138","13,966","13,896"
"Bland County, Virginia","6,257","6,179","6,148"
"Russell County, Virginia","25,756","25,577","25,448"
"Mariposa County, California","17,118","17,107","17,020"
"Smyth County, Virginia","29,782","29,600","29,449"
"Sabine Parish, Louisiana","22,093","22,098","21,985"
"Jefferson County, Kentucky","782,783","777,378","773,399"
"Starke County, Indiana","23,380","23,378","23,258"
"Curry County, Oregon","23,516","23,720","23,598"
"Perry County, Missouri","18,969","18,956","18,858"
"Menard County, Illinois","12,271","12,184","12,121"
"Chester County, South Carolina","32,278","32,097","31,931"
"Lauderdale County, Tennessee","25,120","24,922","24,793"
"Prentiss County, Mississippi","24,962","24,921","24,792"
"Lawrence County, Mississippi","11,982","11,774","11,713"
"Accomack County, Virginia","33,388","33,364","33,191"
"Ballard County, Kentucky","7,712","7,690","7,650"
"Gallia County, Ohio","29,241","29,220","29,068"
"Waseca County, Minnesota","18,964","18,992","18,893"
"Venango County, Pennsylvania","50,354","50,038","49,777"
"Hennepin County, Minnesota","1,281,568","1,266,736","1,260,121"
"Jefferson County, Indiana","33,100","33,119","32,946"
"Union County, New Jersey","573,617","572,810","569,815"
"Meigs County, Ohio","22,149","22,085","21,969"
"Baltimore County, Maryland","853,325","850,634","846,161"
"Leake County, Mississippi","21,245","21,247","21,135"
"Clatsop County, Oregon","41,160","41,916","41,695"
"Doddridge County, West Virginia","7,787","7,739","7,698"
"Nassau County, New York","1,390,559","1,391,112","1,383,726"
"Muskingum County, Ohio","86,450","86,574","86,113"
"Sullivan County, Indiana","20,819","20,781","20,670"
"Clinch County, Georgia","6,725","6,698","6,662"
"Nantucket County, Massachusetts","14,237","14,499","14,421"
"Wood County, West Virginia","84,142","83,791","83,340"
"Sierra County, New Mexico","11,563","11,498","11,436"
"Anchorage Municipality, Alaska","290,866","288,702","287,145"
"Sutter County, California","99,464","99,038","98,503"
"Nuckolls County, Nebraska","4,090","4,063","4,041"
"Kankakee County, Illinois","107,250","106,652","106,074"
"Steuben County, New York","93,314","93,105","92,599"
"Essex County, New Jersey","859,924","854,121","849,477"
"Lincoln County, Mississippi","34,822","34,907","34,717"
"San Augustine County, Texas","7,923","7,900","7,857"
"Contra Costa County, California","1,165,986","1,163,298","1,156,966"
"Green County, Wisconsin","37,036","37,018","36,816"
"Jay County, Indiana","20,476","20,309","20,198"
"Winona County, Minnesota","49,640","49,750","49,478"
"Clearfield County, Pennsylvania","80,438","78,333","77,904"
"Wheeler County, Oregon","1,460","1,453","1,445"
"Clinton County, Indiana","33,174","33,025","32,843"
"Cross County, Arkansas","16,796","16,693","16,601"
"Rensselaer County, New York","160,900","160,740","159,853"
"Rio Grande County, Colorado","11,538","11,388","11,325"
"Okfuskee County, Oklahoma","11,271","11,196","11,134"
"Tioga County, Pennsylvania","41,014","41,335","41,106"
"Thomas County, Georgia","45,785","45,815","45,561"
"Screven County, Georgia","14,078","14,055","13,977"
"Martin County, Kentucky","11,249","11,157","11,095"
"Des Moines County, Iowa","38,816","38,507","38,293"
"Steele County, North Dakota","1,787","1,798","1,788"
"Jackson Parish, Louisiana","14,997","14,922","14,839"
"Erie County, Ohio","75,475","74,918","74,501"
"Roane County, West Virginia","13,986","13,912","13,834"
"Saline County, Kansas","54,253","53,899","53,596"
"Denali Borough, Alaska","1,614","1,594","1,585"
"Macon County, Georgia","12,021","11,832","11,765"
"Bollinger County, Missouri","10,559","10,578","10,518"
"Valley County, Montana","7,556","7,556","7,513"
"Russell County, Kansas","6,670","6,677","6,639"
"Sweetwater County, Wyoming","42,190","41,582","41,345"
"Calhoun County, Illinois","4,404","4,385","4,360"
"Lake County, California","68,195","68,584","68,191"
"Cowley County, Kansas","34,524","34,652","34,453"
"Shasta County, California","181,984","181,981","180,930"
"Jersey County, Illinois","21,495","21,370","21,246"
"Southampton County, Virginia","17,952","18,037","17,932"
"Rutland County, Vermont","60,477","60,720","60,366"
"Adair County, Iowa","7,494","7,538","7,494"
"Osage County, Kansas","15,746","15,746","15,654"
"Caldwell County, Kentucky","12,634","12,644","12,570"
"Belmont County, Ohio","66,283","65,895","65,509"
"Seneca County, Ohio","55,051","54,954","54,632"
"Assumption Parish, Louisiana","20,957","20,726","20,604"
"Tazewell County, Virginia","40,405","40,057","39,821"
"Berkshire County, Massachusetts","128,774","128,621","127,859"
"Monroe County, Iowa","7,597","7,595","7,550"
"Putnam County, West Virginia","57,432","57,355","57,015"
"Clay County, Kansas","8,122","8,091","8,043"
"Echols County, Georgia","3,720","3,708","3,686"
"Craig County, Virginia","4,878","4,876","4,847"
"Wayne County, Illinois","16,125","15,967","15,872"
"Monroe County, New York","757,790","756,547","752,035"
"Moore County, Texas","21,264","21,122","20,996"
"Effingham County, Illinois","34,695","34,531","34,325"
"Stanley County, South Dakota","2,969","3,017","2,999"
"Iowa County, Iowa","16,654","16,574","16,475"
"Chautauqua County, New York","127,578","126,785","126,027"
"Erie County, Pennsylvania","270,539","269,300","267,689"
"DuPage County, Illinois","931,244","926,448","920,901"
"Milwaukee County, Wisconsin","938,527","924,207","918,661"
"Armstrong County, Pennsylvania","65,459","65,138","64,747"
"Jasper County, Mississippi","16,352","16,265","16,167"
"Marion County, Texas","9,751","9,618","9,560"
"Tishomingo County, Mississippi","18,843","18,732","18,619"
"Gosper County, Nebraska","1,895","1,819","1,808"
"Spink County, South Dakota","6,347","6,273","6,235"
"Norton city, Virginia","3,680","3,631","3,609"
"Graves County, Kentucky","36,527","36,634","36,412"
"Franklin County, Mississippi","7,665","7,689","7,642"
"Livingston County, Illinois","35,779","35,741","35,521"
"Thomas County, Kansas","7,933","7,942","7,893"
"Brown County, Minnesota","25,903","25,883","25,723"
"Bourbon County, Kentucky","20,290","20,218","20,093"
"Smith County, Kansas","3,552","3,555","3,533"
"Garrett County, Maryland","28,792","28,757","28,579"
"St Landry Parish, Louisiana","82,302","82,283","81,773"
"Windham County, Vermont","45,850","46,128","45,842"
"Red Willow County, Nebraska","10,686","10,639","10,573"
"Franklin County, Nebraska","2,890","2,891","2,873"
"Boone County, Iowa","26,700","26,776","26,609"
"Portsmouth city, Virginia","97,954","97,638","97,029"
"St Lawrence County, New York","108,554","108,410","107,733"
"Cherokee County, Kansas","19,297","19,208","19,088"
"Clarion County, Pennsylvania","37,193","37,581","37,346"
"Seminole County, Oklahoma","23,515","23,498","23,351"
"Big Horn County, Montana","13,082","12,932","12,851"
"Allegany County, Maryland","67,955","67,691","67,267"
"Jefferson Davis County, Mississippi","11,271","11,158","11,088"
"Scotts Bluff County, Nebraska","36,036","35,828","35,603"
"Sargent County, North Dakota","3,836","3,819","3,795"
"Edwards County, Texas","1,424","1,431","1,422"
"Hopkins County, Kentucky","45,366","45,096","44,812"
"Barton County, Kansas","25,419","25,239","25,080"
"Wyandot County, Ohio","21,861","21,704","21,567"
"Auglaize County, Ohio","46,461","46,240","45,948"
"Lucas County, Ohio","430,834","429,360","426,643"
"Evangeline Parish, Louisiana","32,304","32,190","31,986"
"Cambria County, Pennsylvania","133,199","132,281","131,441"
"Wheatland County, Montana","2,083","2,045","2,032"
"Lake County, Minnesota","10,918","11,009","10,939"
"Grand County, Colorado","15,748","15,870","15,769"
"Winchester city, Virginia","28,009","28,115","27,936"
"Putnam County, Missouri","4,690","4,696","4,666"
"Crawford County, Pennsylvania","83,797","83,202","82,670"
"Lenawee County, Michigan","99,320","99,202","98,567"
"Aleutians West Census Area, Alaska","5,222","5,155","5,122"
"Mathews County, Virginia","8,520","8,545","8,490"
"West Feliciana Parish, Louisiana","15,250","15,481","15,381"
"Adams County, Illinois","65,612","65,146","64,725"
"Worth County, Georgia","20,738","20,557","20,424"
"Butler County, Iowa","14,332","14,362","14,269"
"Clay County, Mississippi","18,621","18,500","18,380"
"Sevier County, Tennessee","98,562","99,435","98,789"
"Wasco County, Oregon","26,631","26,735","26,561"
"Louisa County, Iowa","10,821","10,747","10,677"
"St Martin Parish, Louisiana","51,628","51,573","51,236"
"Alcorn County, Mississippi","34,727","34,429","34,204"
"Tioga County, New York","48,352","48,087","47,772"
"White Pine County, Nevada","9,051","8,846","8,788"
"Clarke County, Iowa","9,726","9,756","9,692"
"Crawford County, Ohio","42,003","41,797","41,522"
"Gove County, Kansas","2,707","2,735","2,717"
"Neshoba County, Mississippi","28,988","28,863","28,673"
"Blaine County, Montana","7,005","6,982","6,936"
"Montgomery County, Kansas","31,393","31,202","30,996"
"Hettinger County, North Dakota","2,467","2,422","2,406"
"Hill County, Montana","16,263","16,175","16,068"
"Genesee County, Michigan","405,757","404,662","401,983"
"Fayette County, Illinois","21,483","21,447","21,305"
"Matagorda County, Texas","36,280","36,366","36,125"
"Jackson County, Oklahoma","24,736","24,720","24,556"
"Mercer County, Pennsylvania","110,534","109,950","109,220"
"Saginaw County, Michigan","189,860","189,590","188,330"
"Allen County, Ohio","102,107","101,792","101,115"
"Greene County, Mississippi","13,530","13,643","13,552"
"Virginia Beach city, Virginia","459,646","458,680","455,618"
"Johnson County, Illinois","13,322","13,471","13,381"
"Ottawa County, Kansas","5,728","5,834","5,795"
"Perkins County, South Dakota","2,842","2,823","2,804"
"Macoupin County, Illinois","44,845","44,545","44,245"
"Humboldt County, Iowa","9,595","9,637","9,572"
"Hampton County, South Carolina","18,519","18,236","18,113"
"Clark County, Ohio","135,879","135,747","134,831"
"Monroe County, Ohio","13,349","13,324","13,234"
"Wayne County, Iowa","6,504","6,511","6,467"
"Harrison County, Ohio","14,486","14,476","14,378"
"Monroe County, Florida","82,852","82,265","81,708"
"Wapello County, Iowa","35,330","35,283","35,043"
"Lawrence County, Arkansas","16,212","16,316","16,205"
"Douglas County, Nevada","49,522","49,969","49,628"
"Hancock County, Kentucky","9,105","9,083","9,021"
"Franklin County, Illinois","37,685","37,498","37,242"
"Paulding County, Ohio","18,805","18,886","18,757"
"Jefferson County, Alabama","674,675","669,997","665,409"
"East Baton Rouge Parish, Louisiana","455,886","453,653","450,544"
"Stevens County, Minnesota","9,666","9,704","9,637"
"Perry County, Indiana","19,151","19,317","19,183"
"Lee County, South Carolina","16,533","16,266","16,153"
"Iberville Parish, Louisiana","30,058","29,713","29,506"
"Crawford County, Missouri","23,037","22,818","22,659"
"Suffolk County, Massachusetts","793,271","771,765","766,381"
"Smith County, Mississippi","14,194","14,191","14,092"
"Grant County, Oklahoma","4,174","4,153","4,124"
"Modoc County, California","8,663","8,571","8,511"
"Bristol city, Virginia","17,295","17,095","16,975"
"Monroe County, West Virginia","12,380","12,383","12,296"
"Renville County, Minnesota","14,697","14,628","14,525"
"Mitchell County, Georgia","21,668","21,266","21,116"
"Jim Hogg County, Texas","4,846","4,797","4,763"
"Parke County, Indiana","16,155","16,486","16,369"
"Worth County, Missouri","1,962","1,969","1,955"
"Fulton County, Ohio","42,643","42,473","42,171"
"Harrisonburg city, Virginia","51,706","51,526","51,158"
"Ramsey County, North Dakota","11,573","11,598","11,515"
"LaPorte County, Indiana","112,276","112,486","111,675"
"Early County, Georgia","10,799","10,651","10,574"
"Willacy County, Texas","20,150","20,290","20,143"
"Tuscarawas County, Ohio","93,183","92,608","91,937"
"Floyd County, Iowa","15,590","15,449","15,337"
"Fulton County, New York","53,132","53,055","52,669"
"Tyler County, West Virginia","8,296","8,243","8,183"
"Muscatine County, Iowa","43,141","42,688","42,377"
"Preble County, Ohio","41,001","40,894","40,596"
"Columbiana County, Ohio","101,634","101,250","100,511"
"Clay County, Arkansas","14,528","14,370","14,265"
"Poweshiek County, Iowa","18,628","18,603","18,467"
"Washington County, Alabama","15,327","15,234","15,122"
"Oktibbeha County, Mississippi","51,698","51,808","51,427"
"Nome Census Area, Alaska","10,028","9,908","9,835"
"Grant County, New Mexico","28,203","27,892","27,686"
"Crawford County, Iowa","16,490","16,243","16,123"
"Sac County, Iowa","9,794","9,745","9,673"
"Thomas County, Nebraska",670,676,671
"Golden Valley County, North Dakota","1,720","1,757","1,744"
"Beaver County, Pennsylvania","167,860","166,914","165,677"
"Washington County, North Carolina","10,976","10,909","10,828"
"Yates County, New York","24,720","24,634","24,451"
"Phillips County, Kansas","4,977","4,845","4,809"
"Donley County, Texas","3,279","3,364","3,339"
"Watonwan County, Minnesota","11,231","11,158","11,075"
"Copiah County, Mississippi","28,268","27,927","27,719"
"Reeves County, Texas","14,763","13,002","12,905"
"Shelby County, Ohio","48,138","48,030","47,671"
"Crockett County, Tennessee","13,903","13,993","13,888"
"Susquehanna County, Pennsylvania","38,334","38,363","38,074"
"Ulster County, New York","181,627","183,704","182,319"
"Coffey County, Kansas","8,356","8,343","8,280"
"Shelby County, Tennessee","929,388","923,352","916,371"
"Bullock County, Alabama","10,296","10,280","10,202"
"Aleutians East Borough, Alaska","3,425","3,424","3,398"
"Knox County, Kentucky","30,183","30,019","29,791"
"Houston County, Tennessee","8,303","8,282","8,219"
"Ouachita Parish, Louisiana","160,096","158,919","157,702"
"Potter County, Texas","118,272","116,538","115,645"
"Peoria County, Illinois","181,322","179,764","178,383"
"Lewis County, West Virginia","17,016","16,897","16,767"
"Scotland County, Missouri","4,699","4,679","4,643"
"Stark County, North Dakota","33,828","33,059","32,803"
"Alfalfa County, Oklahoma","5,708","5,681","5,637"
"Todd County, South Dakota","9,317","9,292","9,220"
"Henry County, Virginia","50,846","50,296","49,906"
"Macon County, Missouri","15,197","15,167","15,049"
"Monroe County, Missouri","8,686","8,720","8,652"
"Charlottesville city, Virginia","46,465","45,730","45,373"
"Furnas County, Nebraska","4,626","4,611","4,575"
"Cortland County, New York","46,750","46,489","46,126"
"Genesee County, New York","58,313","57,988","57,535"
"Greenup County, Kentucky","35,887","35,682","35,403"
"Monroe County, Alabama","19,704","19,557","19,404"
"St Louis County, Missouri","1,003,056","998,227","990,414"
"Pike County, Mississippi","40,190","39,957","39,644"
"Washington County, Colorado","4,808","4,850","4,812"
"Panola County, Mississippi","33,171","32,919","32,661"
"McPherson County, South Dakota","2,402","2,414","2,395"
"San Miguel County, New Mexico","27,129","27,167","26,953"
"Jefferson County, Pennsylvania","44,478","44,142","43,794"
"Giles County, Virginia","16,785","16,584","16,453"
"Hardeman County, Texas","3,559","3,544","3,516"
"Hopewell city, Virginia","23,010","23,145","22,962"
"Los Alamos County, New Mexico","19,415","19,340","19,187"
"Jo Daviess County, Illinois","22,057","21,932","21,758"
"Harrison County, West Virginia","65,839","65,436","64,915"
"Broome County, New York","198,126","198,703","197,117"
"Greenlee County, Arizona","9,526","9,377","9,302"
"Ford County, Kansas","34,208","34,121","33,848"
"Wise County, Virginia","36,061","35,707","35,421"
"Buena Vista County, Iowa","20,809","20,767","20,600"
"Kent County, Texas",761,746,740
"Greenbrier County, West Virginia","32,895","32,698","32,435"
"Ventura County, California","843,310","839,358","832,605"
"Sumter County, South Carolina","105,474","104,856","104,012"
"Rowan County, Kentucky","24,716","24,586","24,388"
"Warren County, Pennsylvania","38,516","38,115","37,808"
"Barnwell County, South Carolina","20,580","20,580","20,414"
"San Juan County, Utah","14,517","14,476","14,359"
"Mora County, New Mexico","4,192","4,203","4,169"
"Clallam County, Washington","77,357","78,442","77,805"
"Tillamook County, Oregon","27,466","27,800","27,574"
"Clay County, Illinois","13,271","13,154","13,047"
"Clark County, Illinois","15,423","15,354","15,229"
"Onondaga County, New York","474,316","472,094","468,249"
"Ward County, North Dakota","69,923","69,437","68,870"
"Wichita County, Kansas","2,149","2,081","2,064"
"Cabell County, West Virginia","94,234","93,494","92,730"
"Eddy County, New Mexico","62,329","60,899","60,400"
"Cerro Gordo County, Iowa","43,023","42,761","42,409"
"Jefferson County, Colorado","583,050","580,926","576,143"
"Lawrence County, Pennsylvania","85,959","85,554","84,849"
"Worth County, Iowa","7,435","7,380","7,319"
"St Mary Parish, Louisiana","49,143","48,188","47,789"
"Hancock County, Illinois","17,547","17,388","17,244"
"Burke County, North Dakota","2,208","2,173","2,155"
"Bell County, Kentucky","23,984","23,765","23,568"
"Crawford County, Illinois","18,648","18,691","18,536"
"Santa Clara County, California","1,931,026","1,886,595","1,870,945"
"Siskiyou County, California","43,991","44,026","43,660"
"Covington County, Mississippi","18,298","18,250","18,098"
"Henderson County, Kentucky","44,668","44,417","44,046"
"Koochiching County, Minnesota","12,025","11,944","11,844"
"Mellette County, South Dakota","1,921","1,908","1,892"
"Carlisle County, Kentucky","4,806","4,760","4,720"
"Copper River Census Area, Alaska","2,616","2,611","2,589"
"Schuyler County, New York","17,863","17,800","17,650"
"Christian County, Illinois","33,950","33,721","33,436"
"Pointe Coupee Parish, Louisiana","20,670","20,323","20,151"
"Tippah County, Mississippi","21,732","21,614","21,431"
"Monroe County, Pennsylvania","168,316","168,629","167,198"
"Passaic County, New Jersey","523,406","518,345","513,936"
"Adams County, Iowa","3,710","3,642","3,611"
"Republic County, Kansas","4,677","4,682","4,642"
"Taylor County, West Virginia","16,684","16,483","16,342"
"Ohio County, Kentucky","23,746","23,730","23,527"
"Chippewa County, Minnesota","12,596","12,390","12,284"
"Scurry County, Texas","16,937","16,830","16,686"
"Pike County, Illinois","14,641","14,609","14,484"
"Marlboro County, South Carolina","26,481","26,265","26,039"
"Atchison County, Missouri","5,308","5,227","5,182"
"Labette County, Kansas","20,165","19,929","19,757"
"Mason County, Illinois","13,057","12,859","12,748"
"Norfolk city, Virginia","237,738","235,025","232,995"
"Bristol County, Rhode Island","50,774","50,800","50,360"
"Gilmer County, West Virginia","7,397","7,389","7,325"
"Haines Borough, Alaska","2,086","2,074","2,056"
"Dillon County, South Carolina","28,275","27,981","27,738"
"Castro County, Texas","7,336","7,362","7,298"
"Mercer County, West Virginia","59,517","59,215","58,700"
"Nolan County, Texas","14,723","14,600","14,473"
"Crittenden County, Arkansas","48,086","47,475","47,061"
"Custer County, Oklahoma","28,444","28,132","27,886"
"Eagle County, Colorado","55,665","55,773","55,285"
"Juneau City and Borough, Alaska","32,202","31,965","31,685"
"Carroll County, Mississippi","9,930","9,817","9,731"
"Fulton County, Illinois","33,488","33,313","33,021"
"Choctaw County, Alabama","12,619","12,549","12,439"
"Wyoming County, New York","40,427","40,017","39,666"
"Lafayette County, Arkansas","6,299","6,155","6,101"
"Jackson County, South Dakota","2,801","2,846","2,821"
"Braxton County, West Virginia","12,397","12,293","12,185"
"San Miguel County, Colorado","8,054","8,074","8,003"
"Clarke County, Alabama","22,981","22,715","22,515"
"Tillman County, Oklahoma","6,948","7,039","6,977"
"Union County, Indiana","7,081","7,014","6,952"
"Jefferson County, New York","116,273","117,680","116,637"
"Calhoun County, Arkansas","4,738","4,737","4,695"
"DeWitt County, Texas","19,835","19,949","19,772"
"Buchanan County, Missouri","84,460","83,655","82,911"
"Colfax County, New Mexico","12,353","12,356","12,246"
"Lea County, New Mexico","74,635","73,103","72,452"
"Greene County, New York","47,912","48,493","48,061"
"Carroll County, Iowa","20,721","20,752","20,567"
"Curry County, New Mexico","48,370","47,960","47,532"
"Union County, South Carolina","27,176","26,994","26,752"
"Natchitoches Parish, Louisiana","37,388","36,995","36,663"
"Honolulu County, Hawaii","1,012,305","1,004,673","995,638"
"Johnson County, Nebraska","5,292","5,335","5,287"
"Pocahontas County, West Virginia","7,864","7,890","7,819"
"Alameda County, California","1,680,380","1,643,837","1,628,997"
"Sumter County, Alabama","12,196","11,961","11,853"
"Wayne County, Michigan","1,789,129","1,773,073","1,757,043"
"Quay County, New Mexico","8,712","8,624","8,546"
"Acadia Parish, Louisiana","57,472","57,262","56,744"
"Lowndes County, Mississippi","58,767","58,129","57,603"
"St Helena Parish, Louisiana","10,901","10,921","10,822"
"Covington city, Virginia","5,742","5,731","5,679"
"Oliver County, North Dakota","1,869","1,873","1,856"
"Roanoke city, Virginia","99,883","98,744","97,847"
"Winkler County, Texas","7,750","7,373","7,306"
"Hardin County, Iowa","16,820","16,719","16,567"
"Marion County, Mississippi","24,370","24,271","24,050"
"Floyd County, Kentucky","35,804","35,300","34,978"
"Kleberg County, Texas","30,977","30,642","30,362"
"Grant County, South Dakota","7,532","7,532","7,463"
"Atchison County, Kansas","16,318","16,257","16,108"
"Dickenson County, Virginia","14,074","13,852","13,725"
"Dade County, Georgia","16,235","16,230","16,081"
"Westchester County, New York","1,001,431","999,607","990,427"
"Henry County, Illinois","49,172","48,868","48,419"
"Caddo County, Oklahoma","26,900","26,441","26,198"
"St Clair County, Illinois","256,823","255,022","252,671"
"Mercer County, Missouri","3,513","3,469","3,437"
"Wyandotte County, Kansas","168,904","167,290","165,746"
"Los Angeles County, California","9,992,236","9,811,842","9,721,138"
"Carroll County, Illinois","15,667","15,674","15,529"
"Richland County, Montana","11,531","11,342","11,237"
"Jackson County, Arkansas","16,755","16,780","16,624"
"Bath County, Virginia","4,186","4,087","4,049"
"Lee County, Illinois","34,051","34,166","33,848"
"Haywood County, Tennessee","17,824","17,715","17,550"
"Drew County, Arkansas","17,314","17,070","16,911"
"Carbon County, Wyoming","14,504","14,679","14,542"
"Robertson County, Kentucky","2,181","2,250","2,229"
"Red River Parish, Louisiana","7,587","7,490","7,420"
"Wilkin County, Minnesota","6,482","6,410","6,350"
"Choctaw County, Mississippi","8,208","8,113","8,037"
"Washington County, Ohio","59,644","59,459","58,901"
"Howard County, Arkansas","12,755","12,676","12,557"
"Edgar County, Illinois","16,796","16,589","16,433"
"Blair County, Pennsylvania","122,651","122,181","121,032"
"Brown County, Kansas","9,482","9,453","9,364"
"Cuyahoga County, Ohio","1,262,523","1,247,808","1,236,041"
"Lake County, Colorado","7,404","7,397","7,327"
"Bottineau County, North Dakota","6,384","6,437","6,376"
"Chickasaw County, Mississippi","17,078","16,973","16,812"
"Montgomery County, Arkansas","8,488","8,638","8,556"
"Kearny County, Kansas","3,961","3,892","3,855"
"Lewis County, Missouri","10,039","9,986","9,891"
"Henry County, Iowa","20,451","20,390","20,196"
"East Feliciana Parish, Louisiana","19,450","19,319","19,135"
"Hocking County, Ohio","28,039","28,126","27,858"
"Clear Creek County, Colorado","9,393","9,445","9,355"
"Orange County, Indiana","19,848","19,812","19,623"
"McHenry County, North Dakota","5,311","5,239","5,189"
"Grant Parish, Louisiana","22,135","22,212","22,000"
"Elk County, Pennsylvania","30,926","30,771","30,477"
"Owsley County, Kentucky","4,031","3,967","3,929"
"Hutchinson County, Texas","20,568","20,411","20,215"
"Grant County, Oregon","7,241","7,288","7,218"
"Hale County, Alabama","14,768","14,737","14,595"
"Cameron County, Pennsylvania","4,531","4,461","4,418"
"Jefferson County, Mississippi","7,249","7,156","7,087"
"Northumberland County, Pennsylvania","91,542","91,013","90,133"
"Waupaca County, Wisconsin","51,791","51,992","51,488"
"Tuolumne County, California","55,374","55,065","54,531"
"Josephine County, Oregon","88,235","88,590","87,730"
"Prince George's County, Maryland","965,290","956,254","946,971"
"LaSalle County, Illinois","109,421","109,139","108,078"
"Lawrence County, Kentucky","16,303","16,268","16,109"
"Allegheny County, Pennsylvania","1,249,524","1,245,445","1,233,253"
"Williams County, North Dakota","41,184","38,487","38,109"
"Harney County, Oregon","7,502","7,590","7,515"
"Nemaha County, Kansas","10,265","10,216","10,115"
"Orleans County, New York","40,225","39,711","39,318"
"Monroe County, Mississippi","34,138","33,913","33,577"
"Jenkins County, Georgia","8,666","8,776","8,689"
"Miami County, Indiana","35,913","36,032","35,674"
"Chugach Census Area, Alaska","7,077","6,943","6,874"
"Turner County, Georgia","8,983","8,931","8,842"
"Nelson County, Virginia","14,737","14,800","14,652"
"Hanson County, South Dakota","3,465","3,496","3,461"
"Richardson County, Nebraska","7,860","7,783","7,705"
"Union County, Illinois","17,182","16,937","16,767"
"Monterey County, California","438,390","437,249","432,858"
"Morrill County, Nebraska","4,553","4,573","4,527"
"Dakota County, Nebraska","21,552","21,256","21,042"
"Saline County, Missouri","23,323","23,241","23,007"
"Conecuh County, Alabama","11,553","11,320","11,206"
"Stephenson County, Illinois","44,493","44,071","43,627"
"Norman County, Minnesota","6,435","6,442","6,377"
"Wright County, Iowa","12,915","12,811","12,681"
"Coles County, Illinois","46,761","46,809","46,334"
"Refugio County, Texas","6,742","6,700","6,632"
"Lane County, Kansas","1,569","1,572","1,556"
"Webster County, Kentucky","13,017","12,857","12,726"
"Marion County, Ohio","65,399","65,311","64,642"
"Essex County, New York","37,326","37,292","36,910"
"Rock Island County, Illinois","144,359","142,992","141,527"
"Arkansas County, Arkansas","17,107","16,683","16,512"
"Clay County, West Virginia","8,007","7,895","7,814"
"Knox County, Texas","3,346","3,307","3,273"
"Ohio County, West Virginia","42,338","41,878","41,447"
"Riley County, Kansas","72,013","71,849","71,108"
"Poinsett County, Arkansas","22,952","22,730","22,495"
"Magoffin County, Kentucky","11,604","11,476","11,357"
"Chambers County, Alabama","34,645","34,446","34,088"
"Randolph County, West Virginia","27,892","27,891","27,600"
"Murray County, Minnesota","8,172","8,145","8,060"
"Claiborne County, Mississippi","9,099","8,898","8,805"
"Cayuga County, New York","76,198","75,791","74,998"
"Benton County, Mississippi","7,661","7,630","7,550"
"Grenada County, Mississippi","21,572","21,312","21,088"
"Wayne County, Missouri","10,933","10,907","10,792"
"McKean County, Pennsylvania","40,392","40,292","39,866"
"Cibola County, New Mexico","27,102","27,238","26,950"
"Webster Parish, Louisiana","36,875","36,024","35,643"
"Hyde County, North Carolina","4,551","4,625","4,576"
"Gallatin County, Illinois","4,938","4,907","4,855"
"Bertie County, North Carolina","17,862","17,425","17,240"
"Perry County, Mississippi","11,458","11,490","11,368"
"Island County, Washington","86,990","87,557","86,625"
"Jefferson County, Texas","256,118","253,531","250,830"
"Dillingham Census Area, Alaska","4,835","4,774","4,723"
"Fayette County, Pennsylvania","128,569","127,113","125,755"
"Pawnee County, Kansas","6,261","6,246","6,179"
"Williamsburg County, South Carolina","30,908","30,384","30,058"
"Miner County, South Dakota","2,310","2,329","2,304"
"Iroquois County, Illinois","26,977","26,761","26,473"
"Martin County, North Carolina","21,953","21,742","21,508"
"Dimmit County, Texas","8,577","8,479","8,387"
"Shelby County, Iowa","11,723","11,773","11,645"
"Butler County, Alabama","19,031","18,855","18,650"
"Houghton County, Michigan","37,238","37,444","37,035"
"Finney County, Kansas","38,302","38,066","37,650"
"Summers County, West Virginia","11,939","11,892","11,762"
"Halifax County, North Carolina","48,521","48,377","47,848"
"Mahnomen County, Minnesota","5,372","5,387","5,328"
"Neosho County, Kansas","15,905","15,779","15,606"
"Wabash County, Illinois","11,315","11,210","11,087"
"Sheridan County, Kansas","2,451","2,452","2,425"
"St Francis County, Arkansas","23,013","22,701","22,451"
"Cass County, Illinois","12,985","12,798","12,657"
"Pendleton County, West Virginia","6,132","6,078","6,011"
"Inyo County, California","19,001","18,927","18,718"
"Lee County, Iowa","33,520","33,208","32,840"
"Elliott County, Kentucky","7,333","7,375","7,293"
"Little River County, Arkansas","11,975","11,954","11,821"
"Attala County, Mississippi","17,816","17,706","17,509"
"Schuyler County, Illinois","6,871","6,822","6,746"
